odoo_product_id,source_item,title,variation_id,sku,options,source_price,source_currency,target_price,target_currency,gtin,target_site,target_logistics,target_seller
3,CBT5158001616,Traje Mujer Morado: Chaleco V Y Pantalón,206862387529,ZiSeMaJiaTaoZhuang-S,Color: Violet; Fabric design: Plain; Size: S,29.8,USD,,USD,787653969204,MLM,fulfillment,3618161625
3,CBT5158001616,Traje Mujer Morado: Chaleco V Y Pantalón,206862387531,ZiSeMaJiaTaoZhuang-M,Color: Violet; Fabric design: Plain; Size: M,29.8,USD,,USD,787653969198,MLM,fulfillment,3618161625
3,CBT5158001616,Traje Mujer Morado: Chaleco V Y Pantalón,206862387533,ZiSeMaJiaTaoZhuang-l,Color: Violet; Fabric design: Plain; Size: L,29.8,USD,,USD,787653969181,MLM,fulfillment,3618161625
3,CBT5158001616,Traje Mujer Morado: Chaleco V Y Pantalón,206862387535,ZiSeMaJiaTaoZhuang-XL,Color: Violet; Fabric design: Plain; Size: XL,29.8,USD,,USD,787653969174,MLM,fulfillment,3618161625
4,CBT5157695166,Elegante Mujer Negro Top Y Pantalón Conjunto De Dos Piezas,206860835821,HeiSeTaoKu-S,Color: Black; Fabric design: Plain; Size: S,17,USD,,USD,787653969341,MLM,fulfillment,3618161625
4,CBT5157695166,Elegante Mujer Negro Top Y Pantalón Conjunto De Dos Piezas,206860835823,HeiSeTaoKu-M,Color: Black; Fabric design: Plain; Size: M,17,USD,,USD,787653969334,MLM,fulfillment,3618161625
4,CBT5157695166,Elegante Mujer Negro Top Y Pantalón Conjunto De Dos Piezas,206860835825,HeiSeTaoKu-l,Color: Black; Fabric design: Plain; Size: L,17,USD,,USD,787653969327,MLM,fulfillment,3618161625
4,CBT5157695166,Elegante Mujer Negro Top Y Pantalón Conjunto De Dos Piezas,206860835827,HeiSeTaoKu-XL,Color: Black; Fabric design: Plain; Size: XL,17,USD,,USD,787653969310,MLM,fulfillment,3618161625
5,CBT5157436128,Vestido Encaje Beige Mangas Farol Lazo Romántico Boda,198998147228,CHANGdenglongxiu-S,Color: Beige; Fabric design: Plain; Size: S,36.8,USD,,USD,787653809722,MLM,fulfillment,3618161625
5,CBT5157436128,Vestido Encaje Beige Mangas Farol Lazo Romántico Boda,198998147230,CHANGdenglongxiu-M,Color: Beige; Fabric design: Plain; Size: M,36.8,USD,,USD,787653809715,MLM,fulfillment,3618161625
5,CBT5157436128,Vestido Encaje Beige Mangas Farol Lazo Romántico Boda,198998147232,CHANGdenglongxiu-L,Color: Beige; Fabric design: Plain; Size: L,36.8,USD,,USD,787653809692,MLM,fulfillment,3618161625
5,CBT5157436128,Vestido Encaje Beige Mangas Farol Lazo Romántico Boda,198998147234,CHANGdenglongxiu-XL,Color: Beige; Fabric design: Plain; Size: XL,36.8,USD,,USD,787653809708,MLM,fulfillment,3618161625
6,CBT4265479687,Conjunto Rosa Botones Lazo Espalda Pantalón Ancho Elegante,206859992425,QinXinSeBangDaiTaoZhuang-S,Color: Apricot; Fabric design: Plain; Size: S,29.8,USD,,USD,787653969419,MLM,fulfillment,3618161625
6,CBT4265479687,Conjunto Rosa Botones Lazo Espalda Pantalón Ancho Elegante,206859992427,QinXinSeBangDaiTaoZhuang-M,Color: Apricot; Fabric design: Plain; Size: M,29.8,USD,,USD,787653969402,MLM,fulfillment,3618161625
6,CBT4265479687,Conjunto Rosa Botones Lazo Espalda Pantalón Ancho Elegante,206859992429,QinXinSeBangDaiTaoZhuang-L,Color: Apricot; Fabric design: Plain; Size: L,29.8,USD,,USD,787653969389,MLM,fulfillment,3618161625
6,CBT4265479687,Conjunto Rosa Botones Lazo Espalda Pantalón Ancho Elegante,206859992431,QinXinSeBangDaiTaoZhuang-XL,Color: Apricot; Fabric design: Plain; Size: XL,29.8,USD,,USD,787653969396,MLM,fulfillment,3618161625
